localidad,anio,vif_casos,lesiones_casos,spa_casos,poblacion_ref,vif_tasa,lesiones_tasa,spa_tasa
USAQUEN,2018,1403.0,1249.0,188.0,501999,279.4826284514511,248.80527650453487,37.450273805326304
USAQUEN,2019,1657.0,917.0,400.0,501999,330.08033880545577,182.6696865930012,79.68143362835384
USAQUEN,2020,1844.0,710.0,285.0,501999,367.3314090267112,141.43454469032807,56.773021460202116
USAQUEN,2021,1598.0,1080.0,516.0,501999,318.3273273452736,215.13987079655539,102.78904938057646
USAQUEN,2022,1312.0,800.0,375.0,501999,261.3551023010006,159.3628672567077,74.70134402658172
USAQUEN,2023,1477.0,786.0,325.0,501999,294.2236936726965,156.5740170797153,64.7411648230375
USAQUEN,2024,2179.0,811.0,465.0,501999,434.0646096904576,161.5541066814874,92.62966659296134
USAQUEN,2025,1092.0,646.0,425.0,501999,217.530313805406,128.68551530979144,84.66152323012597
CHAPINERO,2018,568.0,799.0,138.0,139701,406.5826300455974,571.9357771240005,98.78239955333176
CHAPINERO,2019,457.0,627.0,236.0,139701,327.1272217092218,448.81568492709425,168.93221952598765
CHAPINERO,2020,551.0,383.0,200.0,139701,394.4137837238101,274.15694948497145,143.16289790337936
CHAPINERO,2021,505.0,549.0,411.0,139701,361.4863172060329,392.9821547447763,294.1997551914446
CHAPINERO,2022,724.0,597.0,187.0,139701,518.2496904102333,427.3412502415874,133.85730953965972
CHAPINERO,2023,723.0,567.0,339.0,139701,517.5338759207164,405.8668155560805,242.66111194622803
CHAPINERO,2024,1012.0,552.0,429.0,139701,724.4042633910996,395.12959821332703,307.08441600274875
CHAPINERO,2025,579.0,361.0,245.0,139701,414.45658943028326,258.4090307155997,175.3745499316397
SANTA FE,2018,621.0,1223.0,848.0,110048,564.2992148880488,1111.333236405932,770.5728409421343
SANTA FE,2019,583.0,868.0,489.0,110048,529.7688281477173,788.7467287002036,444.35155568479206
SANTA FE,2020,725.0,659.0,381.0,110048,658.8034312300088,598.8296016283803,346.2125617912184
SANTA FE,2021,1038.0,807.0,671.0,110048,943.2247746437918,733.3163710380925,609.7339342832219
SANTA FE,2022,1008.0,794.0,875.0,110048,915.963943006688,721.5033439953474,795.1075894155277
SANTA FE,2023,1104.0,827.0,740.0,110048,1003.1986042454201,751.4902587961617,672.4338470485606
SANTA FE,2024,1848.0,745.0,610.0,110048,1679.267228845595,676.977318988078,554.3035766211108
SANTA FE,2025,886.0,518.0,263.0,110048,805.1032276824658,470.7036929339924,238.98662401861006
