anio,relacion,n,spearman_rho,p_valor
2018,VIF casos vs lesiones casos,20,0.9514855881601892,1.1850944269500564e-10
2018,VIF casos vs SPA casos,20,0.6475910958496596,0.0020214274438552864
2018,Lesiones casos vs SPA casos,20,0.8097933606521874,1.5163464895859556e-05
2018,VIF tasa vs lesiones tasa,20,0.4616541353383458,0.040457634341480996
2018,VIF tasa vs SPA tasa,20,0.2300751879699248,0.32913824647008466
2018,Lesiones tasa vs SPA tasa,20,0.8646616541353382,8.760838300464327e-07
2019,VIF casos vs lesiones casos,20,0.9729323308270676,6.714944202233499e-13
2019,VIF casos vs SPA casos,20,0.7665671343894808,8.075404941475879e-05
2019,Lesiones casos vs SPA casos,20,0.8072298311056222,1.693453505369437e-05
2019,VIF tasa vs lesiones tasa,20,0.5969924812030075,0.0054519893833496
2019,VIF tasa vs SPA tasa,20,0.42255639097744363,0.06344083999820868
2019,Lesiones tasa vs SPA tasa,20,0.8706766917293233,5.953878226538431e-07
2020,VIF casos vs lesiones casos,20,0.9684210526315788,2.644982989972947e-12
2020,VIF casos vs SPA casos,20,0.5639097744360902,0.009606971537576621
2020,Lesiones casos vs SPA casos,20,0.6375939849624059,0.0024928448093271324
2020,VIF tasa vs lesiones tasa,20,0.7097744360902255,0.0004558392343877837
2020,VIF tasa vs SPA tasa,20,0.45563909774436084,0.043493409805465975
2020,Lesiones tasa vs SPA tasa,20,0.7909774436090224,3.291872728004306e-05
2021,VIF casos vs lesiones casos,20,0.9657766760455991,5.401965177288682e-12
2021,VIF casos vs SPA casos,20,0.5949605535452249,0.005654726404493663
2021,Lesiones casos vs SPA casos,20,0.5984962406015037,0.005305836200418916
2021,VIF tasa vs lesiones tasa,20,0.7503759398496239,0.00013841163311276023
2021,VIF tasa vs SPA tasa,20,0.4285714285714286,0.05937977468606561
2021,Lesiones tasa vs SPA tasa,20,0.5323308270676691,0.01568312513569594
2022,VIF casos vs lesiones casos,20,0.9774436090225563,1.3229342264210537e-13
2022,VIF casos vs SPA casos,20,0.6045112781954887,0.004753100824093811
2022,Lesiones casos vs SPA casos,20,0.6300751879699248,0.0029049508134043086
2022,VIF tasa vs lesiones tasa,20,0.7864661654135338,3.919021539120576e-05
2022,VIF tasa vs SPA tasa,20,0.6045112781954887,0.004753100824093811
2022,Lesiones tasa vs SPA tasa,20,0.8045112781954886,1.900592442570447e-05
2023,VIF casos vs lesiones casos,20,0.9605115384036058,1.9209832565701225e-11
2023,VIF casos vs SPA casos,20,0.6556390977443608,0.0016983661049514527
2023,Lesiones casos vs SPA casos,20,0.7626927955687207,9.221391226370934e-05
2023,VIF tasa vs lesiones tasa,20,0.7609022556390977,9.796553338830222e-05
2023,VIF tasa vs SPA tasa,20,0.38947368421052625,0.08961904769837135
2023,Lesiones tasa vs SPA tasa,20,0.7353383458646616,0.00022055698212103088
2024,VIF casos vs lesiones casos,20,0.9233082706766916,6.582911442531832e-09
2024,VIF casos vs SPA casos,20,0.9052631578947368,4.121873801744548e-08
2024,Lesiones casos vs SPA casos,20,0.8481203007518796,2.321430364439041e-06
2024,VIF tasa vs lesiones tasa,20,0.5804511278195488,0.0072900732244842075
2024,VIF tasa vs SPA tasa,20,0.5548872180451127,0.011103504265934592
2024,Lesiones tasa vs SPA tasa,20,0.7969924812030074,2.5917474294045437e-05
2025,VIF casos vs lesiones casos,20,0.9218045112781955,7.796274241778167e-09
2025,VIF casos vs SPA casos,20,0.9398496240601503,7.860443387804441e-10
2025,Lesiones casos vs SPA casos,20,0.9097744360902256,2.702255745187613e-08
2025,VIF tasa vs lesiones tasa,20,0.7654135338345864,8.403045414071626e-05
2025,VIF tasa vs SPA tasa,20,0.7864661654135338,3.919021539120576e-05
2025,Lesiones tasa vs SPA tasa,20,0.7428571428571428,0.00017540444660487067
